Timestamp,Strategy,Side,Size(BTC),Price(USD),Value(USD),OrderId
2025-11-23 13:46:15.661,OBI,Buy,0.034000,86773.84,2950.31,3512050
2025-11-23 13:46:48.496,OBI,Buy,0.034000,86774.29,2950.33,3512120
2025-11-23 13:47:20.123,OBI,Buy,0.034000,86773.71,2950.31,3512171
2025-11-23 13:47:48.940,MeanReversion,Buy,0.046000,86880.67,3996.51,3512252
2025-11-23 13:47:53.949,OBI,Buy,0.034000,86787.98,2950.79,3512256
2025-11-23 13:48:24.268,OBI,Buy,0.034000,86820.20,2951.89,3512367
2025-11-23 13:48:43.288,MeanReversion,Sell,0.046000,86755.84,3990.77,3512430
2025-11-23 13:48:56.106,OBI,Buy,0.034000,86837.72,2952.48,3512479
2025-11-23 13:49:33.823,OBI,Buy,0.034000,86945.64,2956.15,3512549
2025-11-23 13:49:50.839,MeanReversion,Sell,0.046000,86756.91,3990.82,3512596
2025-11-23 13:50:05.641,OBI,Buy,0.034000,86860.75,2953.27,3512657
2025-11-23 13:50:35.764,OBI,Buy,0.034000,86924.94,2955.45,3512758
2025-11-23 13:51:08.004,OBI,Buy,0.034000,87015.98,2958.54,3512800
2025-11-23 13:51:38.888,OBI,Buy,0.034000,86884.15,2954.06,3512857
2025-11-23 13:52:09.039,OBI,Buy,0.034000,86913.80,2955.07,3512914
2025-11-23 13:52:54.084,MeanReversion,Buy,0.046000,86899.99,3997.40,3513074
2025-11-23 13:55:30.770,MeanReversion,Sell,0.046000,86660.01,3986.36,3513472
2025-11-23 13:56:19.728,MeanReversion,Sell,0.046000,86662.65,3986.48,3513552
2025-11-23 13:57:04.866,MeanReversion,Sell,0.046000,86665.59,3986.62,3513666
2025-11-23 13:57:35.282,OBI,Buy,0.034000,86884.14,2954.06,3513725
2025-11-23 13:57:58.529,MeanReversion,Sell,0.046000,86668.93,3986.77,3513756
2025-11-23 13:58:08.828,OBI,Buy,0.034000,86913.80,2955.07,3513780
2025-11-23 13:58:42.032,OBI,Buy,0.034000,87014.98,2958.51,3513845
2025-11-23 13:58:43.582,MeanReversion,Sell,0.046000,86804.86,3993.02,3513847
