Timestamp,Strategy,Side,Size(BTC),Price(USD),Value(USD),OrderId
2025-11-23 14:07:47.464,MeanReversion,Sell,0.045000,86947.81,3912.65,3515149
2025-11-23 14:08:55.581,MeanReversion,Buy,0.046000,87077.02,4005.54,3515391
2025-11-23 14:08:55.951,MeanReversion_Exit,Sell,0.046000,86205.54,3965.45,3515392
2025-11-23 14:10:40.334,MeanReversion,Sell,0.045000,86604.73,3897.21,3515685
2025-11-23 14:12:17.075,MeanReversion,Sell,0.046000,86721.41,3989.18,3515911
2025-11-23 14:12:48.703,MeanReversion_Exit,Buy,0.045000,87013.57,3915.61,3516022
2025-11-23 14:13:01.886,MeanReversion,Buy,0.046000,87013.29,4002.61,3516071
2025-11-23 14:13:02.523,MeanReversion_Exit,Sell,0.046000,86722.78,3989.25,3516073
